# id       redshift distance galex.FUV galex.FUV_err galex.NUV galex.NUV_err sdss.up sdss.up_err sdss.gp sdss.gp_err sdss.rp sdss.rp_err sdss.ip sdss.ip_err sdss.zp sdss.zp_err 2mass.J 2mass.J_err 2mass.H 2mass.H_err 2mass.Ks 2mass.Ks_err IRAC1 IRAC1_err IRAC2 IRAC2_err IRAC3 IRAC3_err IRAC4 IRAC4_err WISE3 WISE3_err MIPS1  MIPS1_err herschel.pacs.70 herschel.pacs.70_err herschel.pacs.100 herschel.pacs.100_err herschel.pacs.160 herschel.pacs.160_err herschel.spire.PSW herschel.spire.PSW_err herschel.spire.PMW herschel.spire.PMW_err herschel.spire.PLW herschel.spire.PLW_err
  M81dwB   0.0      3.6      0.0469    0.0073        0.0586    0.009         0.175   0.011       0.447   0.016       0.682   0.021       0.842   0.025       0.997   0.037       1.11    0.14        1.3     0.22        1.32     0.26         0.534 0.1       0.36  0.1       0.321 0.09      0.307 0.08      0.373 0.124     0.332  0.034     9.03             1.16                 27.0              1.8                   29.2              1.8                   17.6               1.4                    10.4               1.0                    4.26               2.13
  NGC_3077 0.0      3.83     -9999.0   -9999.0       -9999.0   -9999.0       6.94    0.15        26.4    0.5         49.6    1.0         68.8    1.3         82.1    1.6         99.3    5.0         100.0   5.0         85.0     4.4          53.3  7.2       36.0  4.9       43.0  5.4       80.8  10.0      74.8  5.2       129.0  5.0       2130.0           100.0                2920.0            140.0                 2780.0            130.0                 1320.0             90.0                   613.0              43.0                   237.0              17.0
  NGC_3190 0.0      19.3     0.0334    0.0046        0.149     0.02          2.16    0.05        10.2    0.2         21.1    0.4         31.7    0.6         42.3    0.8         69.7    3.4         82.4    4.1         73.4     3.6          37.1  5.0       23.4  3.2       24.6  3.1       32.7  4.1       27.7  1.9       26.6   1.1       629.0            31.0                 1090.0            50.0                  1530.0            70.0                  819.0              58.0                   348.0              24.0                   118.0              8.0
  NGC_3938 0.0      17.9     -9999.0   -9999.0       3.11      0.43          7.24    0.15        20.3    0.4         31.4    0.6         40.7    0.8         46.4    0.9         62.5    3.1         57.0    2.9         53.1     2.7          32.0  4.3       21.1  2.9       41.0  5.2       98.0  12.2      84.6  5.9       108.0  4.0       1640.0           80.0                 3070.0            150.0                 3920.0            190.0                 2190.0             150.0                  983.0              69.0                   365.0              26.0
  NGC_4569 0.0      9.86     0.427     0.059         1.39      0.19          9.09    0.19        36.1    0.7         62.4    1.2         90.0    1.8         108.0   2.0         175.0   8.0         203.0   10.0        164.0    8.0          75.9  10.2      47.2  6.4       59.0  7.5       101.0 12.0      93.1  6.5       143.0  5.0       1480.0           70.0                 3250.0            160.0                 4000.0            200.0                 2090.0             140.0                  900.0              63.0                   309.0              22.0
  NGC_4579 0.0      16.4     0.434     0.06          0.897     0.124         6.61    0.14        29.9    0.6         60.2    1.2         88.3    1.7         111.0   2.0         198.0   9.0         218.0   10.0        179.0    8.0          86.3  11.7      52.0  7.1       54.1  6.9       72.6  9.0       70.6  4.9       75.9   3.1       999.0            50.0                 2540.0            120.0                 3450.0            170.0                 1940.0             130.0                  844.0              59.0                   297.0              21.0
  NGC_4631 0.0      7.62     9.63      1.51          11.8      1.8           24.9    0.5         57.9    1.1         85.4    1.7         108.0   2.0         121.0   2.0         172.0   8.0         196.0   9.0         182.0    9.0          119.0 17.0      84.5  11.4      247.0 31.0      584.0 72.0      463.0 32.0      812.0  32.0      14000.0          700.0                23300.0           1100.0                23800.0           1100.0                11400.0            800.0                  5230.0             370.0                  2010.0             140.0
  NGC_5457 0.0      6.7      34.6      5.4           38.7      5.9           75.5    1.5         189.0   3.0         275.0   5.0         352.0   7.0         386.0   7.0         435.0   21.0        501.0   25.0        440.0    22.0         281.0 38.0      189.0 25.0      338.0 42.0      761.0 94.0      687.0 48.0      1050.0 40.0      13500.0          600.0                26200.0           1300.0                33600.0           1600.0                19400.0            1300.0                 9420.0             660.0                  3880.0             270.0
  NGC_5866 0.0      15.3     0.0584    0.0081        0.375     0.051         5.56    0.12        25.5    0.5         49.3    0.9         73.1    1.4         88.9    1.7         129.0   6.0         147.0   7.0         125.0    6.0          66.2  8.9       42.0  5.7       31.1  3.9       31.4  3.9       26.0  1.8       21.3   0.8       880.0            44.0                 1800.0            90.0                  1780.0            80.0                  757.0              53.0                   305.0              21.0                   96.5               7.2
  NGC_0337 0.0      19.3     0.463     0.064         0.819     0.113         2.49    0.06        6.64    0.14        10.0    0.2         12.1    0.2         13.6    0.2         17.8    0.9         19.0    0.9         16.4     0.8          9.58  1.26      6.59  0.9       14.1  1.8       37.6  4.7       29.1  2.0       67.3   2.8       1390.0           60.0                 2100.0            100.0                 1970.0            90.0                  894.0              63.0                   405.0              28.0                   158.0              11.0
  NGC_3773 0.0      12.4     0.345     0.047         0.454     0.062         0.754   0.023       1.63    0.04        2.53    0.05        3.07    0.07        3.45    0.08        4.42    0.23        3.8     0.22        3.7      0.23         2.21  0.27      1.43  0.23      2.55  0.34      4.74  0.59      4.09  0.28      14.4   0.5       139.0            7.0                  214.0             10.0                  206.0             10.0                  94.5               6.7                    41.4               3.0                    15.5               1.1
  NGC_4559 0.0      6.98     4.73      0.65          5.68      0.78          10.8    0.2         27.7    0.5         40.2    0.8         50.2    1.0         54.5    1.1         76.0    3.8         77.7    3.9         65.2     3.3          35.3  4.7       23.3  3.2       42.0  5.3       83.7  10.4      62.9  4.4       111.0  4.0       1800.0           90.0                 3370.0            160.0                 4050.0            200.0                 2360.0             160.0                  1220.0             80.0                   529.0              37.0
  NGC_5474 0.0      6.8      2.31      0.36          2.51      0.38          4.88    0.11        11.6    0.2         16.6    0.3         19.9    0.4         22.2    0.4         26.2    1.4         30.5    1.8         19.3     1.5          10.8  1.3       7.3   1.02      5.55  1.01      11.4  1.4       10.0  0.7       15.6   0.6       354.0            18.0                 604.0             31.0                  853.0             43.0                  482.0              34.0                   280.0              20.0                   134.0              9.0
  NGC_2976 0.0      3.55     1.25      0.19          1.73      0.26          7.53    0.16        22.5    0.4         40.0    0.8         53.9    1.0         64.7    1.3         80.8    4.0         85.8    4.3         68.9     3.6          40.5  5.8       28.1  3.9       51.3  6.5       101.0 12.0      83.5  5.8       139.0  5.0       2090.0           100.0                3720.0            180.0                 4590.0            220.0                 2420.0             170.0                  1130.0             80.0                   442.0              31.0
  NGC_3627 0.0      9.38     2.46      0.38          4.52      0.69          21.4    0.4         76.0    1.5         136.0   2.0         190.0   3.0         236.0   4.0         324.0   16.0        366.0   18.0        313.0    15.0         177.0 25.0      115.0 17.0      219.0 30.0      520.0 69.0      460.0 32.0      750.0  29.0      10700.0          500.0                18800.0           900.0                 19600.0           900.0                 9040.0             640.0                  3600.0             250.0                  1200.0             80.0
  NGC_4536 0.0      14.5     1.48      0.2           1.91      0.26          5.61    0.12        17.2    0.3         29.2    0.5         39.3    0.7         49.1    1.0         70.2    3.5         74.2    3.7         69.4     3.5          39.4  5.3       28.5  3.8       62.0  7.9       165.0 20.0      131.0 9.0       345.0  13.0      4190.0           200.0                5670.0            280.0                 5550.0            270.0                 -9999.             -9999.                 1210.0             80.0                   462.0              32.0
  NGC_4625 0.0      9.3      0.549     0.087         0.698     0.107         1.26    0.03        3.41    0.07        5.34    0.11        6.86    0.14        7.95    0.17        9.66    0.63        11.2    0.8         8.92     0.87         4.86  0.64      3.07  0.4       6.05  0.76      13.4  1.6       11.2  0.7       12.8   0.5       151.0            8.0                  376.0             19.0                  469.0             23.0                  256.0              18.0                   130.0              9.0                    54.9               4.0
