      id  redshift  galex.FUV          galex.FUV_err  galex.NUV          galex.NUV_err   sdss.up             sdss.up_err   sdss.gp             sdss.gp_err   sdss.rp             sdss.rp_err   sdss.ip            sdss.ip_err  vista.vircam.Z     vista.vircam.Z_err  vista.vircam.Y     vista.vircam.Y_err  vista.vircam.J     vista.vircam.J_err  vista.vircam.H     vista.vircam.H_err  vista.vircam.Ks    vista.vircam.Ks_err 
  SPEC37     0.689   0.035667    0.00734248410893752   0.039361    0.00605568222498506  0.001077   0.0005310360533899745  0.001678  0.00021725754302210086  0.005816   0.0005996453618598247  0.013099  0.0014226253934188017        0.020941   0.002210867659992339        0.024253  0.0027414164386316796        0.037624   0.003903492507998446        0.046794   0.005175452188939629         0.055359   0.006025826815466903 
  SPEC59      0.89   0.035667    0.00734248410893752   0.039361    0.00605568222498506  0.001672  0.00048662597546781245  0.002942   0.0003177320254554143  0.003866   0.0004066147562496964  0.003633  0.0006458660000340627        0.004988  0.0008497914097000511        0.007534  0.0014483716926258952        0.010323  0.0014372345981084648        0.010146  0.0023484754969979997         0.003023  0.0023247387573660833 
  SPEC83     0.628   0.045564    0.00861885357573732   0.075669   0.009924719623747564  0.001386   0.0004394302675055509   0.00094   0.0001596151621870554  0.001505  0.00019248441495352297  0.002584  0.0005752969320272793        0.001078  0.0006756551191251347        0.002502  0.0012336385370115511        0.002808  0.0010040640617012442        0.002267  0.0020505698939563117         0.000846   0.002263581489586801 
 SPEC110     0.797   0.055183   0.009497606798030755   0.086662    0.01063996952251274  0.001337   0.0004141735022910085  0.000884  0.00014268342580692407   0.00139  0.00018104419349981925  0.001582  0.0005425755615580194        0.003244  0.0007417036874655538        0.003897  0.0012521845271364761        0.003296   0.001003663369860632        0.002813   0.002033550021514101         0.005435   0.002237997598300767 
 SPEC112     0.837   0.054916   0.009736491696704723   0.037847   0.005825804244050773  0.000789  0.00047756278121310924  0.001028  0.00016339167665459583  0.001781   0.0002315677222757956  0.002581  0.0005724828469046038        0.004453  0.0007731210060527395        0.002476   0.001266439797226856        0.005327  0.0011392182802255238        0.003911   0.002070277326833292         0.007298   0.002442574264991753 
 SPEC128     0.186   0.055183   0.009497606798030755   0.086662    0.01063996952251274  0.001031  0.00046068493572071575  0.001393  0.00020617587152719884  0.002562   0.0002924370701535631  0.004386  0.0007058179368647414        0.005416  0.0008850596364087564        0.005635   0.001382091259649666        0.008344   0.001317810062186505        0.003204  0.0021955045342699703          0.00636  0.0024046324043395903 
 SPEC156     0.183   0.045564    0.00861885357573732   0.075669   0.009924719623747564  0.001589   0.0005475629735473355  0.002778   0.0003042184083845026  0.004627  0.00047902744180265916  0.005419  0.0007305857992049941        0.005148  0.0008236917141746662        0.006747   0.001327278829033297        0.005883  0.0010727096018960584        0.007328  0.0020308204844348013         0.001925  0.0021177670433737516 
 SPEC182     0.447   0.035667    0.00734248410893752   0.039361    0.00605568222498506  0.000652   0.0005508720722636064   0.00303   0.0003321219655488026  0.015144   0.0015212308700522743  0.027555   0.002829301017919444        0.041791  0.0042398233229699565        0.050561   0.005215115646848113         0.06961     0.0070367905326221        0.100342   0.010272116317487843         0.120906   0.012318583090599342 
 SPEC184     0.074   0.035667    0.00734248410893752   0.039361    0.00605568222498506  0.001672  0.00048662597546781245  0.002942   0.0003177320254554143  0.003866   0.0004066147562496964  0.003633  0.0006458660000340627        0.004988  0.0008497914097000511        0.007534  0.0014483716926258952        0.010323  0.0014372345981084648        0.010146  0.0023484754969979997         0.003023  0.0023247387573660833 
 SPEC242     0.075   0.024597   0.006225518861107081   0.012646  0.0032307804258414094  0.012007   0.0013531653594442922  0.032317    0.003237759856752814   0.04609    0.004614200039010013  0.058712  0.0059247796954823555        0.065942   0.006645235709890208         0.07596   0.007777410623080153        0.073511   0.007483975361397178        0.083698    0.00885600293812056         0.077131   0.008403221799405274 
