      id           bayes.sfh.sfr       bayes.sfh.sfr_err    bayes.sfh.sfr100Myrs  bayes.sfh.sfr100Myrs_err     bayes.sfh.sfr10Myrs  bayes.sfh.sfr10Myrs_err         bayes.galex.FUV     bayes.galex.FUV_err         bayes.galex.NUV     bayes.galex.NUV_err           bayes.sdss.gp       bayes.sdss.gp_err           bayes.sdss.ip       bayes.sdss.ip_err           bayes.sdss.rp       bayes.sdss.rp_err           bayes.sdss.up       bayes.sdss.up_err   bayes.vista.vircam.H  bayes.vista.vircam.H_err   bayes.vista.vircam.J  bayes.vista.vircam.J_err  bayes.vista.vircam.Ks  bayes.vista.vircam.Ks_err   bayes.vista.vircam.Y  bayes.vista.vircam.Y_err   bayes.vista.vircam.Z  bayes.vista.vircam.Z_err     best.chi_square  best.reduced_chi_square  best.agn.fracAGN_dale2014  best.attenuation.B_B90  best.attenuation.E_BV_factor  best.attenuation.E_BV_lines  best.attenuation.E_BVs  best.attenuation.FUV  best.attenuation.V_B90  best.attenuation.powerlaw_slope  best.attenuation.uv_bump_amplitude  best.attenuation.uv_bump_wavelength  best.attenuation.uv_bump_width  best.dust.alpha  best.nebular.f_dust  best.nebular.f_esc  best.nebular.lines_width  best.nebular.logU  best.nebular.ne  best.nebular.zgas  best.param.EW(500.7/1.0)  best.param.EW(656.3/1.0)  best.param.restframe_FUV-NUV  best.param.restframe_NUV-r_prime  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age   best.universe.age  best.universe.luminosity_distance  best.universe.redshift    best.dust.luminosity  best.param.restframe_Lnu(FUV)  best.param.restframe_Lnu(V_B90)     best.sfh.integrated            best.sfh.sfr     best.sfh.sfr100Myrs     best.sfh.sfr10Myrs        best.stellar.lum     best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young    best.stellar.lum_old  best.stellar.lum_young     best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young     best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young       best.stellar.n_ly   best.stellar.n_ly_old  best.stellar.n_ly_young          best.galex.FUV          best.galex.NUV            best.sdss.up            best.sdss.gp            best.sdss.rp           best.sdss.ip    best.vista.vircam.Z    best.vista.vircam.Y    best.vista.vircam.J    best.vista.vircam.H   best.vista.vircam.Ks 
   SPEC2       2.690478051334213     0.13452390256671065         2.7306441667975         0.136532208339875      2.6941116254730453      0.13470558127365226   0.0012892816551357742  1.4529673845824113e-07    0.002094805021122464  1.8696412446796292e-07   0.0039717213021012365   6.371424773760015e-07    0.012850990311673388   4.608342572288812e-06    0.009499652132380684  3.6978021497132776e-06    0.002668790520240912   5.869741482106958e-07    0.04194658852328467     5.272983069708891e-05    0.02972901209233811     1.431826882052124e-05    0.05321737326562015      7.616095605928444e-05   0.020362735770203262    1.7386491140926047e-06   0.016095554880481845     4.199553401553351e-06   58.31252776201896         6.47916975133544                        0.0      0.6684865727948792                          0.44                          0.3                   0.132    1.3499805116216999      0.5359823138691819                              0.0                                 0.0                                217.5                            35.0              2.0                  0.5                 0.5                     300.0               -4.0            100.0               0.02                       0.0                       0.0            0.3121785777653814                1.9498189146414104        5000.0                20.0             5000.0               0.0                50.0             2000.0       2396.5486296927193               0.0                      0.05                                   10.0    9924.24386569352              5.652364331116024e+25                 0.34555   4.994106160375489e+36         5.7179368760977654e+20           3.7298602417902804e+21      18681170244.733612       2.690488614963429      2.7306548881310135     2.6941222033687717  1.1825554616614727e+37   5.367563843505789e+35    9.934173357202326e+33      5.268222109933766e+35   7.738800244866133e+36  4.0867543717485927e+36      5030285218.142898         5029193861.2581        1091356.8847980157      13650885008.835932       13625035167.651339          25849841.18459141  1.6930418096554916e+53  2.2534025550434657e+51   1.6705077841050568e+53   0.0012965461963398812    0.002100782602834738    0.002676600362687012   0.0040112282138092875    0.009553379419946634    0.01293760481897374   0.016172514241087246   0.020479935562365506    0.02995498584529042    0.04208684437157674   0.053535723011906566 
   SPEC3      11.354742498342842      1.2660536462076377      11.524257316729178        1.2849545463324592      11.370077430614309       1.2677634909636473   0.0006372690091306452   1.560486104944362e-05   0.0021819196279664445   3.118006433045367e-05    0.003467877168797991    7.88086940701635e-05    0.012816712556422218   0.0005954613832842859    0.006177377158099001  0.00025630710577639643   0.0029401723604269786  0.00013766120380801088    0.03549176700369208     0.0023031275374426406   0.026243446880799076     0.0006221469913490678    0.04052892526242076       0.005346304957820697   0.020635769558385104     0.0007413802248746524    0.01634957772212247     0.0007878114502898044    43.0663486454123        4.785149849490256                        0.0      0.6691599596648103                          0.44                          0.3                   0.132    1.3505994330872908      0.5367035082780384                              0.0                                 0.0                                217.5                            35.0              2.0                  0.5                 0.5                     300.0               -4.0            100.0               0.02                       0.0                       0.0           0.18994861135975688                 2.193419221309378        5000.0                20.0             5000.0               0.0                50.0             2000.0        2392.682980709974               0.0                     0.004                                   10.0   7489.688856855433             1.2928682798047648e+26                  0.6866   2.728140769639268e+37          3.032143482232534e+21           2.2789246461134324e+22       72485211195.05717      10.439422847639806      10.595272869631417     10.453521612305336   5.888055853082677e+37   4.533199975917798e+36    7.839209184349417e+34      4.454807884074304e+36   4.219029949386218e+37  1.6690259036964589e+37     20023334104.842373       20020740812.78547         2593292.056902858        52461877193.7248        52359935227.66901          101941966.0558026  1.2668804337219731e+54  2.2035514736156042e+52   1.2448449189858171e+54   0.0006418010369305073    0.002171081733079493    0.002832707220066067    0.003413492443043943    0.006423103923928884       0.01325507507696    0.01691997849859448   0.021192006405090932   0.026733119685270562   0.034112594381156845    0.03745113779195499 
   SPEC9       0.893594475303316      0.0446797237651658      0.9069349368077656       0.04534674684038828      0.8948013023853872      0.04474006511926937    0.000688368373812685  1.5374571352109324e-05    0.001048874244288583   6.635075118754741e-06   0.0022753265158778177   8.091173382011086e-05     0.00682227839893991   0.0002683723771457767    0.005010282912182742  0.00023234705394848922    0.001344902791372321  4.9065376581347345e-06    0.01989055517029019     0.0016986513501308829   0.015409859540831128     0.0006004214474188026    0.02550276226894473      0.0027393271746791216   0.010565678473359479     0.0001709879966805253   0.008335066657091578    0.00028534595672806396  36.314024957608574        4.539253119701072                        0.0      0.6684865727948792                          0.44                          0.3                   0.132    1.3499805116216999      0.5359823138691819                              0.0                                 0.0                                217.5                            35.0              2.0                  0.5                 0.5                     300.0               -4.0            100.0               0.02                       0.0                       0.0            0.3121785777653814                1.9498189146414104        5000.0                20.0             5000.0               0.0                50.0             2000.0       2396.5486296927193               0.0                      0.05                                   10.0   10403.20586850516              4.657698367262244e+25                 0.29266  1.6912980618333413e+36          1.936429712479807e+20            1.263150040321698e+21       6326542931.422406       0.911157679421494      0.9247603417954746     0.9123882261560059  4.0048282837626023e+36  1.8177727973258597e+35    3.364295352441898e+33     1.7841298438014406e+35  2.6208129011965958e+36   1.384015382566006e+36     1703550418.5746675      1703180820.9480343        369597.62663286616       4622992506.834925        4614238230.315719          8754276.519206392   5.733635287916775e+52   7.631346334033004e+50    5.657321824576444e+52   0.0006776770122428001   0.0010433051611455964    0.001339698405096814   0.0022131447220814305     0.00486343981568697   0.006649681413441637   0.008162568780536122   0.010442737994090368   0.015674126929353775   0.020829424377512156    0.02701988373032429 
  SPEC13      2.3312642280500584     0.21693528345365984      2.3660676445331847       0.22017390777134943      2.3344126727681402      0.21722826128909226  0.00018133561109330803   9.084413436620996e-06   0.0006036161051006439  2.2282446747240267e-05    0.000974869333265748  3.0144018222403056e-05    0.003066860362368406   1.839644698195255e-05    0.001719687921016782   5.415404232699036e-05   0.0007870755735476813  2.5093323363043724e-05   0.006123734311626097     0.0007637855119809864   0.005364093340630341    0.00022235006169609876   0.006004316458601058      0.0013147101238311588   0.004420496911643122    0.00011819880364931944  0.0036348113582070243     5.022324081445632e-05  15.667057853634041         2.23815112194772                        0.0      0.6732378420032672                          0.44                          0.3                   0.132    1.3502912167145045      0.5372895119325493                              0.0                                 0.0                                217.5                            35.0              2.0                  0.5                 0.5                     300.0               -4.0            100.0               0.02                       0.0                       0.0           0.20027788228066784                1.8325088997980723        5000.0                20.0             5000.0               0.0                50.0             2000.0        2393.911898653397               0.0                    0.0001                                   10.0   7477.576749660532                1.2977437626481e+26                  0.6887   7.294145751991688e+36          8.673000107705926e+20            4.848251198748513e+21      15947609160.674505      2.2967972734351085       2.331086133154596      2.299899169460894  1.4129161602123431e+37  1.4838183873330883e+36    4.627442896730427e+34      1.437543958365784e+36  1.0122860908843178e+37   4.006300693280254e+36      4598577131.482474       4598072695.041649        504436.44082577806       11349032007.59916       11326537452.313696         22494555.285463605   4.125878008413361e+53  1.5123393066091889e+52    3.974644077752442e+53   0.0001855438661856115   0.0006122326099590961   0.0007942469221595534   0.0009864035529878754   0.0017424720728024003  0.0030701834811867677   0.003621541144540808   0.004383025699673146   0.005294441874105894   0.005947223773168239  0.0057275842531438565 
  SPEC19      2.8671722360630225      0.2912419582356802      2.9099762169502594        0.2955899060349363       2.871044441184109      0.29163528954238294   0.0006585642331174771  2.2706074568304072e-05    0.001249013561753198  2.2234736851696383e-05   0.0021262427640894015  1.6714327834187666e-05     0.00789972162388932   0.0003358045884027249    0.005392233390539052   0.0002596230133541645     0.00152805890363035   5.453390257777774e-05    0.01949109799245161     0.0017651147559551346   0.015405328633166527     6.410678476267387e-05    0.02235665906464643      0.0025583623641936724   0.011947795414813334     0.0003819364345371505    0.01003671673818984    0.00033725019927701024   72.09851774774984         8.01094641641665                        0.0       0.668529903004035                          0.44                          0.3                   0.132    1.3502065451545664      0.5363652813451554                              0.0                                 0.0                                217.5                            35.0              2.0                  0.5                 0.5                     300.0               -4.0            100.0               0.02                       0.0                       0.0           0.25584010553528247                 2.049282390215248        5000.0                20.0             5000.0               0.0                50.0             2000.0       2395.2502455754466               0.0                      0.02                                   10.0   8812.606718175326              8.438571508423736e+25                 0.48395   6.601716189424366e+36           7.54753925048188e+20              5.2079286832255e+21       21818552211.35003       3.142338812322058      3.1892507518184265     3.1465826384473985  1.4725703480603106e+37   9.122367876379897e+35   1.2838000009629774e+34      8.993987876283599e+35   9.993724434031063e+36  4.7319790465720445e+36      5817396716.965796       5816441373.723656         955343.2421414283      16001155525.376638        15970645042.07349         30510483.303146616  2.7614494914329113e+53   3.229321878091305e+51    2.729156272651998e+53   0.0006341737081872575    0.001262749252935949    0.001580679093292893    0.002132067535641267    0.005161090457623133    0.00766605793590439   0.009820262458596933   0.011707923862171272    0.01538147346373733   0.020489080730318143   0.023899864717193332 
  SPEC24      3.0809296352791797       0.154046481763959      3.1269247978873707       0.15634623989436855       3.085090526404369      0.15425452632021847   0.0006065652537358835   3.718838640780514e-07    0.001206574589675186    1.06821723547398e-06    0.002038695822463102  1.3674583134537565e-06    0.006850270262114816  1.4827613642733283e-05    0.004714380285971102  1.0144700183415965e-05    0.001565172550579398   3.823945086907145e-06   0.023998186685051437    0.00019508517955618883   0.015155195255831222    2.5543373212593828e-05    0.02879896029095794     0.00025761664220219903   0.010682991997299936    1.2320779633176488e-05   0.008931834368007766    1.2186256989638691e-05   93.36426083830128       10.373806759811252                        0.0      0.6684865727948792                          0.44                          0.3                   0.132    1.3499805116216999      0.5359823138691819                              0.0                                 0.0                                217.5                            35.0              2.0                  0.5                 0.5                     300.0               -4.0            100.0               0.02                       0.0                       0.0            0.3121785777653814                1.9498189146414104        5000.0                20.0             5000.0               0.0                50.0             2000.0       2396.5486296927193               0.0                      0.05                                   10.0   8945.286774126194               8.06572844732054e+25                 0.46612   5.719979753907543e+36          6.549016403556283e+20           4.2719806873991276e+21       21396404511.18127       3.081540502245246      3.1275447844792525      3.085702218365239  1.3544352245142975e+37   6.147718035363283e+35   1.1378066194478472e+34     6.0339373734184984e+35   8.863604276453914e+36    4.68074796868906e+36       5761417294.74057       5760167313.445646         1249981.294923635       15634987196.10533       15605380182.664015          29607013.44131442   1.939118745729723e+53   2.580925710894989e+51   1.9133094886207728e+53   0.0006140980433368848   0.0012087701659479469   0.0015664832462121362    0.002044897771434632    0.004756359291678921    0.00686796232543482    0.00896353035065868   0.010714995278534617   0.015257174170838722   0.024058056631210852   0.028881385049313067 
  SPEC25      1.1196770988630895     0.05598385494315448      1.1363927452190352      0.056819637260951766      1.1211892575473992      0.05605946287736996   0.0004675174196271979  3.8155643437390035e-05   0.0007745432992555312   5.445919815136587e-05   0.0013844055473722426    6.52724893671345e-05    0.004401437298010265   4.085894062599279e-05    0.003489374160467394   7.439037916723007e-05   0.0009602352562369291   6.663866551579916e-05   0.007375399781352053     0.0003537278076159782   0.007254519658939037    0.00022194939856137234   0.007481865551877014      0.0004946001125926383   0.006416867464443123    0.00016888390789807133   0.005470300217790467    0.00010845450254275616   15.20718809681635       1.6896875663129278                        0.0      0.6719457122008566                          0.44                          0.3                   0.132    1.3502478330913172      0.5369256059585796                              0.0                                 0.0                                217.5                            35.0              2.0                  0.5                 0.5                     300.0               -4.0            100.0               0.02                       0.0                       0.0            0.2100446629112538                 2.020876541436882        5000.0                20.0             5000.0               0.0                50.0             2000.0        2394.047899391795               0.0                    0.0004                                   10.0   9082.383761493751              7.692919058575656e+25                  0.4481  3.2439240350381654e+36         3.7679229148999306e+20           2.4808479285290373e+21       7667807581.745397      1.1043285152990923      1.1208150228299407      1.105819945244777   6.508929772188011e+36  5.4712733490216876e+35      1.5198187668032e+34      5.319291472341368e+35   4.742166147944055e+36   1.766763624243956e+36     2163060303.8586907       2162797436.249994        262867.60869680345        5504747287.45054        5493951951.731135         10795335.719404249  1.5552036313121569e+53   4.790001248559219e+51   1.5073036188265646e+53   0.0004433967715371656   0.0007379578189097516   0.0009176289461328091    0.001349514126162535   0.0034665481617550714  0.0044415481595272074   0.005563031385601692   0.006553029151473562   0.007386330028651455   0.007495099163944922    0.00760663207527602 
  SPEC30       1.462882883901155     0.07314414419505776      1.4847222454209048       0.07423611227104525      1.4648585526535738      0.07324292763267869   0.0012915440495978943   2.002764421486387e-05   0.0019019314018878758  1.5784315092189933e-05     0.00436983935497083   8.671896035311588e-05    0.013168207088381772  0.00022760607140954203    0.009796558299562129   0.0002126322388740708    0.002420377147655817  2.4710001776749296e-05   0.030084564311802786     0.0012428572049741323   0.025663639488856214     0.0005424818865646872    0.03668915366384706       0.002042132661632987     0.0195689921957185    0.00015724575711073901   0.015938036463823642    0.00022981708034207376   7.665092894712238       0.8516769883013597                        0.0       0.668529903004035                          0.44                          0.3                   0.132    1.3502065451545664      0.5363652813451554                              0.0                                 0.0                                217.5                            35.0              2.0                  0.5                 0.5                     300.0               -4.0            100.0               0.02                       0.0                       0.0           0.25584010553528247                 2.049282390215248        5000.0                20.0             5000.0               0.0                50.0             2000.0       2395.2502455754466               0.0                      0.02                                   10.0  10425.158612545718             4.6146568918907045e+25                 0.29032  3.1251265393705846e+36          3.572861138200301e+20            2.465334115569794e+21       10328486504.09465      1.4875232646040446      1.5097304820800552      1.489532210955604    6.97086718630163e+36  4.3183549753389635e+35    6.077264364500362e+33       4.25758233169396e+35   4.730838551644853e+36   2.240028634656778e+36     2753844659.2661424       2753392417.995152          452241.270990603       7574641859.499722         7560198778.58503         14443080.914691746  1.3072175242299947e+53  1.5286993890407108e+51   1.2919305303395877e+53   0.0012852091513366444   0.0019062805453291375   0.0024290830139791003    0.004339734097371142    0.009732217295582353   0.013105007617836935    0.01588166122883516   0.019533582285861602   0.025846098320023426    0.03046669991595767    0.03731257173214474 
  SPEC31        9.74355816506458      1.4611724443285814       9.889019631322274         1.482986270715892        9.75671714287198       1.4631458030792521   0.0007554580209159966  2.0725383195216642e-05    0.002203489589426154   1.937795854219286e-05   0.0035801059001708897   9.161283340115115e-05    0.013112499932989094   0.0007905796779740432    0.007094093181388202   0.0004620121712765539   0.0029405727048727993  0.00018935339002976254    0.03703044339929561      0.004382762828053355   0.026704209800824805     0.0004962637395323417   0.043253115099659414       0.008257603249160788   0.020708812148047546     0.0009383242051925617   0.016587622739720385     0.0010472105273047745  136.14376562277025       15.127085069196694                        0.0      0.6691599596648103                          0.44                          0.3                   0.132    1.3505994330872908      0.5367035082780384                              0.0                                 0.0                                217.5                            35.0              2.0                  0.5                 0.5                     300.0               -4.0            100.0               0.02                       0.0                       0.0           0.18994861135975688                 2.193419221309378        5000.0                20.0             5000.0               0.0                50.0             2000.0        2392.682980709974               0.0                     0.004                                   10.0   7811.154167167078             1.1691341134788894e+26                 0.63267   2.250615873586795e+37          2.501406939132257e+21           1.8800290807315075e+22       59797635346.16209       8.612140192124135       8.740710732653666      8.623771154832266   4.857429688009003e+37   3.739723381390217e+36    6.467059479851204e+34     3.6750527865917054e+36   3.480544655502604e+37   1.376885032506399e+37     16518514762.875978      16516375392.234598         2139370.641377813      43279120668.678055       43195022293.131195          84098375.54686467  1.0451297989466313e+54  1.8178489834454579e+52   1.0269513091121768e+54   0.0007587534773633228    0.002187809082986487    0.002789351851781251    0.003497702770511828     0.00739739982539514   0.013674267335084176    0.01734570503177573    0.02141319696381555   0.027046891954586524     0.0338038720839636    0.03720898515187964 
  SPEC32     0.47501120037928785     0.07772923962073108     0.48210263705216005       0.07888965853287629     0.47565271775293766      0.07783421537207653   0.0001248995891123073   6.782837084125942e-06  0.00022562954364146464   9.085229954399542e-06   0.0003888302554727076  1.3105708469034487e-05   0.0013503377657184562  4.0101323839290644e-05   0.0009711198891786194   3.425463258178769e-05  0.00028300472316216427   1.784647611018341e-05  0.0037542630589604466     0.0008257083084267766   0.002762350202043417     0.0002612667151664423   0.004398558479443942      0.0011243373646662451  0.0020627600215345323     7.244891262044576e-05   0.001732376232257928      5.30776747574242e-05    18.5900346968579       2.3237543371072373                        0.0      0.6684865727948792                          0.44                          0.3                   0.132    1.3499805116216999      0.5359823138691819                              0.0                                 0.0                                217.5                            35.0              2.0                  0.5                 0.5                     300.0               -4.0            100.0               0.02                       0.0                       0.0            0.3121785777653814                1.9498189146414104        5000.0                20.0             5000.0               0.0                50.0             2000.0       2396.5486296927193               0.0                      0.05                                   10.0   9042.125084499243              7.801113544503681e+25                 0.45335  1.0239156970734474e+36          1.172318956445936e+20            7.647139101208234e+20       3830103493.804384      0.5516169334797093      0.5598520162489827     0.5523619092742678   2.424532160453875e+36  1.1004837898752721e+35   2.0367520655835456e+33     1.0801162692194367e+35  1.5866460969741386e+36   8.378860634797362e+35     1031333301.7385815      1031109546.4939853         223755.2445961318      2798770188.4256315        2793470329.490761          5299858.934870696   3.471155856601885e+52     4.6200344442837e+50    3.424955512159048e+52  0.00012112852575478721   0.0002305720725636963  0.00029805401622564926   0.0003919785356114096   0.0009282315929418046  0.0013154408230628078  0.0017201458248766513   0.002058569209206561  0.0029547697910328494   0.004594034726676972   0.005523915324495251 
