id	redshift	galex.FUV	galex.FUV_err	galex.NUV	galex.NUV_err	sdss.up	sdss.up_err	sdss.gp	sdss.gp_err	sdss.rp	sdss.rp_err	sdss.ip	sdss.ip_err	vista.vircam.Z	vista.vircam.Z_err	vista.vircam.Y	vista.vircam.Y_err	vista.vircam.J	vista.vircam.J_err	vista.vircam.H	vista.vircam.H_err	vista.vircam.Ks	vista.vircam.Ks_err
SPEC37	0.689	0.035667	0.006418	0.039361	0.004602	0.001077	0.000520	0.001678	0.000138	0.005816	0.000146	0.013099	0.000555	0.020941	0.000709	0.024253	0.001278	0.037624	0.001040	0.046794	0.002211	0.055359	0.002380
SPEC59	0.890	0.035667	0.006418	0.039361	0.004602	0.001672	0.000457	0.002942	0.000120	0.003866	0.000126	0.003633	0.000534	0.004988	0.000688	0.007534	0.001237	0.010323	0.001000	0.010146	0.002118	0.003023	0.002305
SPEC83	0.628	0.045564	0.007316	0.075669	0.006422	0.001386	0.000417	0.000940	0.000129	0.001505	0.000120	0.002584	0.000514	0.001078	0.000667	0.002502	0.001208	0.002808	0.000964	0.002267	0.002038	0.000846	0.002262
SPEC110	0.797	0.055183	0.007730	0.086662	0.006173	0.001337	0.000392	0.000884	0.000112	0.001390	0.000116	0.001582	0.000519	0.003244	0.000667	0.003897	0.001190	0.003296	0.000948	0.002813	0.002014	0.005435	0.002171
SPEC112	0.837	0.054916	0.008040	0.037847	0.004429	0.000789	0.000471	0.001028	0.000127	0.001781	0.000148	0.002581	0.000511	0.004453	0.000632	0.002476	0.001242	0.005327	0.001007	0.003911	0.002033	0.007298	0.002331
SPEC128	0.186	0.055183	0.007730	0.086662	0.006173	0.001031	0.000449	0.001393	0.000152	0.002562	0.000141	0.004386	0.000553	0.005416	0.000700	0.005635	0.001262	0.008344	0.001020	0.003204	0.002172	0.006360	0.002319
SPEC156	0.183	0.045564	0.007316	0.075669	0.006422	0.001589	0.000524	0.002778	0.000124	0.004627	0.000124	0.005419	0.000490	0.005148	0.000643	0.006747	0.001143	0.005883	0.000897	0.007328	0.001894	0.001925	0.002109
SPEC182	0.447	0.035667	0.006418	0.039361	0.004602	0.000652	0.000547	0.003030	0.000136	0.015144	0.000144	0.027555	0.000642	0.041791	0.000715	0.050561	0.001278	0.069610	0.001030	0.100342	0.002198	0.120906	0.002359
SPEC184	0.074	0.035667	0.006418	0.039361	0.004602	0.001672	0.000457	0.002942	0.000120	0.003866	0.000126	0.003633	0.000534	0.004988	0.000688	0.007534	0.001237	0.010323	0.001000	0.010146	0.002118	0.003023	0.002305
SPEC242	0.075	0.024597	0.005719	0.012646	0.002973	0.012007	0.000624	0.032317	0.000198	0.046090	0.000219	0.058712	0.000795	0.065942	0.000822	0.075960	0.001670	0.073511	0.001404	0.083698	0.002894	0.077131	0.003335
SPEC274	0.183	0.045564	0.007316	0.075669	0.006422	0.001589	0.000524	0.002778	0.000124	0.004627	0.000124	0.005419	0.000490	0.005148	0.000643	0.006747	0.001143	0.005883	0.000897	0.007328	0.001894	0.001925	0.002109
SPEC279	0.719	0.035667	0.006418	0.039361	0.004602	0.000926	0.000520	0.001911	0.000141	0.004170	0.000151	0.007826	0.000665	0.009393	0.000726	0.013889	0.001316	0.018282	0.001076	0.016757	0.002291	0.025490	0.002464
SPEC313	0.559	0.024597	0.005719	0.012646	0.002973	0.000942	0.000468	0.001482	0.000128	0.003474	0.000131	0.005848	0.000498	0.007427	0.000641	0.009266	0.001261	0.010348	0.001014	0.009659	0.002054	0.014310	0.002398
SPEC329	0.430	0.005638	0.002635	0.011241	0.003699	0.000536	0.000459	0.000438	0.000115	0.001323	0.000118	0.001678	0.000458	0.002688	0.000454	0.003641	0.000889	0.005292	0.000700	0.006798	0.001675	0.007213	0.001716
SPEC344	0.518	0.008491	0.003441	0.004115	0.001789	0.001313	0.000499	0.001163	0.000131	0.002117	0.000136	0.002197	0.000520	0.002490	0.000446	0.002037	0.000862	0.004612	0.000817	0.001276	0.001905	0.003164	0.001726
