,Path,z
0,./spec_forgelato/v1/specgelato_SPEC2.fits,0.34555
1,./spec_forgelato/v1/specgelato_SPEC3.fits,0.6866
2,./spec_forgelato/v1/specgelato_SPEC9.fits,0.29266
3,./spec_forgelato/v1/specgelato_SPEC13.fits,0.6887
4,./spec_forgelato/v1/specgelato_SPEC19.fits,0.48395
5,./spec_forgelato/v1/specgelato_SPEC24.fits,0.46612
6,./spec_forgelato/v1/specgelato_SPEC25.fits,0.4481
7,./spec_forgelato/v1/specgelato_SPEC30.fits,0.29032
8,./spec_forgelato/v1/specgelato_SPEC31.fits,0.63267
9,./spec_forgelato/v1/specgelato_SPEC32.fits,0.45335
10,./spec_forgelato/v1/specgelato_SPEC33.fits,0.44741
11,./spec_forgelato/v1/specgelato_SPEC34.fits,0.63013
12,./spec_forgelato/v1/specgelato_SPEC35.fits,0.44862
13,./spec_forgelato/v1/specgelato_SPEC36.fits,0.82266
14,./spec_forgelato/v1/specgelato_SPEC37.fits,0.68905
15,./spec_forgelato/v1/specgelato_SPEC45.fits,1.10116
16,./spec_forgelato/v1/specgelato_SPEC47.fits,0.29369
17,./spec_forgelato/v1/specgelato_SPEC49.fits,0.68613
18,./spec_forgelato/v1/specgelato_SPEC51.fits,0.62989
19,./spec_forgelato/v1/specgelato_SPEC55.fits,0.44889
20,./spec_forgelato/v1/specgelato_SPEC57.fits,0.21729
21,./spec_forgelato/v1/specgelato_SPEC58.fits,0.63131
22,./spec_forgelato/v1/specgelato_SPEC59.fits,0.89
23,./spec_forgelato/v1/specgelato_SPEC61.fits,0.48582
24,./spec_forgelato/v1/specgelato_SPEC62.fits,0.32338
25,./spec_forgelato/v1/specgelato_SPEC66.fits,0.44613
26,./spec_forgelato/v1/specgelato_SPEC67.fits,0.52542
27,./spec_forgelato/v1/specgelato_SPEC68.fits,0.11682
28,./spec_forgelato/v1/specgelato_SPEC69.fits,0.82624
29,./spec_forgelato/v1/specgelato_SPEC70.fits,0.98172
30,./spec_forgelato/v1/specgelato_SPEC71.fits,0.29381
31,./spec_forgelato/v1/specgelato_SPEC72.fits,1.0
32,./spec_forgelato/v1/specgelato_SPEC73.fits,0.63179
33,./spec_forgelato/v1/specgelato_SPEC77.fits,0.96342
34,./spec_forgelato/v1/specgelato_SPEC79.fits,0.29317
35,./spec_forgelato/v1/specgelato_SPEC80.fits,0.62787
36,./spec_forgelato/v1/specgelato_SPEC83.fits,0.628
37,./spec_forgelato/v1/specgelato_SPEC84.fits,1.046
38,./spec_forgelato/v1/specgelato_SPEC85.fits,0.979
39,./spec_forgelato/v1/specgelato_SPEC86.fits,0.1265
40,./spec_forgelato/v1/specgelato_SPEC87.fits,1.102
41,./spec_forgelato/v1/specgelato_SPEC89.fits,0.6879
42,./spec_forgelato/v1/specgelato_SPEC91.fits,0.688
43,./spec_forgelato/v1/specgelato_SPEC93.fits,0.2885
44,./spec_forgelato/v1/specgelato_SPEC96.fits,0.7741
45,./spec_forgelato/v1/specgelato_SPEC97.fits,0.436
46,./spec_forgelato/v1/specgelato_SPEC102.fits,0.5133
47,./spec_forgelato/v1/specgelato_SPEC106.fits,0.6436
48,./spec_forgelato/v1/specgelato_SPEC107.fits,1.022
49,./spec_forgelato/v1/specgelato_SPEC109.fits,0.8266
50,./spec_forgelato/v1/specgelato_SPEC110.fits,0.797
